file_name,source_path,file_size_mb,matched_by,matched_keyword
QCDT-GYYHPC 1161-2022 电测技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1161-2022 电测技术监督规程.pdf,0.479,pdf_content,仪表+控制
QCDT-GYYHPC 1162-2022 水工技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1162-2022 水工技术监督规程.pdf,0.671,pdf_content,仪表+控制
QCDT-GYYHPC 1163-2022工控系统网络信息安全防护技术监督规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1163-2022工控系统网络信息安全防护技术监督规程.docx,0.047,docx_content,工业控制系统
QCDT-GYYHPC 1163-2022工控系统网络信息安全防护技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1163-2022工控系统网络信息安全防护技术监督规程.pdf,0.337,pdf_content,工业控制系统
QCDT-GYYHPC 1164-2022 水轮机与振动监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1164-2022 水轮机与振动监督规程.pdf,0.669,pdf_content,仪表+控制
QCDT-GYYHPC 1165-2022 压力容器及承压部件技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1165-2022 压力容器及承压部件技术监督规程.pdf,0.333,pdf_content,仪表+控制
QCDT-GYYHPC 1166-2022 计量技术规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1166-2022 计量技术规程.pdf,0.658,pdf_content,仪器仪表
QCDT-GYYHPC 1167-2022 励磁系统技术规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1167-2022 励磁系统技术规程.pdf,0.371,pdf_content,电磁兼容+核
QCDT-GYYHPC 1168-2022 水工观测规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1168-2022 水工观测规程.pdf,0.588,pdf_content,仪表+控制
QCDT-GYYHPC 1170-2022 大坝静力水准监测规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1170-2022 大坝静力水准监测规程.pdf,0.305,pdf_content,核电
QCDT-GYYHPC 1174-2022 渗流监测规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1174-2022 渗流监测规程.docx,0.179,docx_content,流量计+核
QCDT-GYYHPC 1174-2022 渗流监测规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1174-2022 渗流监测规程.pdf,0.347,pdf_content,流量计+核
QCDT-GYYHPC 1176-2022 监测资料整编规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1176-2022 监测资料整编规程.pdf,0.477,pdf_content,流量计+核
